id,council_code,council_name,regions_id,council_types_id
37987,,Kilombero DC,37610,4
38592,,Ifakara TC,37610,4
38712,,Kilosa DC,37610,4
39730,,Malinyi DC,37610,4
39942,,Morogoro MC,37610,4
40269,,Morogoro DC,37610,4
41205,,Mvomero DC,37610,4
42062,,Ulanga DC,37610,4
42371,,Masasi DC,42369,4
43465,,Masasi TC,42369,4
43714,,Mtwara Mikindani MC,42369,4
43846,,Nanyamba DC,42369,4
44285,,Mtwara DC,42369,4
44850,,Nanyumbu DC,42369,4
45491,,Newala TC,42369,4
45660,,Newala DC,42369,4
46099,,Tandahimba DC,42369,4
46934,,Kwimba DC,46932,4
47961,,Magu DC,46932,4
48587,,Misungwi DC,46932,4
49457,,Sengerema DC,46932,4
49982,,Buchosa DC,46932,4
50487,,Ukerewe DC,46932,4
51108,,Ilemela MC,46932,4
51301,,Mwanza CC,46932,4
51498,,Ludewa DC,51496,4
51962,,Njombe DC,51496,4
52247,,Makambako TC,51496,4
52397,,Njombe TC,51496,4
52710,,Makete DC,51496,4
53277,,Wanging'ombe DC,51496,4
53937,,Bagamoyo DC,53935,4
54133,,Chalinze DC,53935,4
54662,,Kibaha TC,53935,4
54752,,Kibaha DC,53935,4
54895,,Kisarawe DC,53935,4
55218,,Mafia DC,53935,4
55387,,Mkuranga DC,53935,4
56020,,Rufiji DC,53935,4
56325,,Kibiti DC,53935,4
56607,,Kalambo DC,56605,4
57187,,Sumbawanga MC,56605,4
57573,,Sumbawanga DC,56605,4
58213,,Nkasi DC,56605,4
59060,,Songea MC,59058,4
59179,,Songea DC,59058,4
59695,,Madaba DC,59058,4
59894,,Mbinga DC,59058,4
60846,,Mbinga TC,59058,4
61225,,Namtumbo DC,59058,4
61817,,Nyasa DC,59058,4
62355,,Tunduru DC,59058,4
63717,,Kishapu DC,63715,4
64521,,Kahama TC,63715,4
64839,,Msalala DC,63715,4
65340,,Ushetu DC,63715,4
66030,,Shinyanga MC,63715,4
66207,,Shinyanga DC,63715,4
67221,,Ikungi DC,67219,4
67901,,Iramba DC,67219,4
68368,,Itigi DC,67219,4
68390,,Itigi DC,67219,4
68444,,Manyoni DC,67219,4
68979,,Mkalama DC,67219,4
69467,,Singida MC,67219,4
69648,,Singida DC,67219,4
70198,,Bariadi TC,70196,4
70304,,Bariadi DC,70196,4
70928,,Busega DC,70196,4
71368,,Itilima DC,70196,4
72095,,Maswa DC,70196,4
72761,,Meatu DC,70196,4
73625,,Songwe DC,73623,4
73894,,Ileje DC,73623,4
74304,,Mbozi DC,73623,4
75120,,Tunduma TC,73623,4
75209,,Momba DC,73623,4
75603,,Igunga DC,75601,4
76519,,Kaliua DC,75601,4
76988,,Nzega TC,75601,4
77218,,Nzega DC,75601,4
78367,,Sikonge DC,75601,4
78743,,Tabora MC,75601,4
79088,,Tabora (Uyui) DC,75601,4
79967,,Urambo DC,75601,4
80303,,Tanga CC,80301,4
80517,,Bumbuli DC,80301,4
81295,,Handeni TC,80301,4
81369,,Handeni DC,80301,4
82264,,Korogwe TC,80301,4
82341,,Korogwe DC,80301,4
83104,,Lushoto DC,80301,4
84219,,Mkinga DC,80301,4
84665,,Muheza DC,80301,4
85365,,Pangani DC,80301,4
85512,,Kilindi DC,80301,4
